States,Density
 New Jersey,"1,210.10"
 Rhode Island,"1,017.10"
 Massachusetts,858
 Connecticut,742.6
 Maryland,610.8
 Delaware,475.1
 New York,417
 Florida,364.6
 Pennsylvania,285.5
 Ohio,283.2
 California,246.1
 Illinois,232
 Hawaii,218.6
 Virginia,209.2
 North Carolina,202.6
 Indiana,183.4
 Michigan,175
 Georgia,173.7
 South Carolina,158.8
 Tennessee,157.5
 New Hampshire,147.8
 Kentucky,111.3
 Louisiana,107.1
 Wisconsin,106
 Washington,104.9
 Texas,101.2
 Alabama,95.4
 Missouri,87.9
 West Virginia,77.1
 Minnesota,68.1
 Vermont,68
 Mississippi,63.7
 Arizona,58.3
 Arkansas,56.9
 Oklahoma,56.1
 Iowa,55.3
 Colorado,50.8
 Maine,43.1
 Oregon,40.9
 Kansas,35.4
 Utah,35.3
 Nevada,25.4
 Nebraska,24.3
 Idaho,19.5
 New Mexico,17.2
 South Dakota,11.1
 North Dakota,10.5
 Montana,7
 Wyoming,6
 Alaska,1.3
